 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , 
6,1,0,6,3,0,0,0,15,3,9,0,1,0,2,14,3,0, 
14,1,3,11,300,0,25,0,492,25,7,17,7,0,7,172,115,0, 
4,1,4,0,3,0,6,0,11,3,15,2,0,0,3,3,3,1, 
1,2,1,0,0,0,1,0,4,1,12,0,0,1,1,1,1,0, 
0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0, 
2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0, 
12,2,3,9,45,0,6,0,153,10,20,6,1,0,4,34,39,0, 
3,2,2,1,1,0,0,2,8,2,27,0,0,0,0,3,3,0, 
2,2,1,1,10,0,0,2,13,5,97,0,0,0,5,9,4,1, 
10,1,8,2,36,3,2,0,21,9,7,1,0,0,5,12,7,0, 
7,1,1,7,45,0,9,0,77,10,33,6,3,0,5,29,22,1, 
22,1,18,4,6,0,2,0,24,4,7,2,0,0,4,17,8,0, 
4,1,0,4,1,0,0,0,8,2,9,0,0,0,2,8,2,0, 
0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0, 
0,2,0,0,0,0,138,3,0,0,12,1,0,137,0,0,0,0, 
0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0, 
40,1,3,37,2016,1,111,0,1805,64,7,82,47,2,3,836,410,3, 
4,1,0,4,1,0,0,0,9,2,9,0,0,0,2,8,2,0, 
12,2,1,11,190,0,6,0,120,20,42,2,0,0,17,54,38,0, 
1,1,1,0,6,0,6,0,15,4,15,4,0,0,4,4,4,0, 
0,1,0,0,0,0,25,0,0,0,7,0,0,0,0,0,0,1, 
2,1,0,2,1,0,2,0,30,2,7,2,0,0,2,10,5,0, 
17,1,3,16,210,0,19,8,149,21,14,11,3,7,18,108,38,0, 
3,2,1,3,21,0,2,1,32,7,15,1,0,1,7,14,9,0, 
2,1,2,0,0,2,1,0,0,1,19,1,0,0,0,1,0,0, 
5,1,2,3,15,0,10,0,114,6,7,10,3,0,3,36,34,1, 
