 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , 
17,3,10,7,55,0,2,0,170,11,44,2,0,0,11,59,29,1, 
34,1,9,27,2415,0,60,0,829,70,9,25,11,19,0,263,177,2, 
179,1,174,5,120,0,6,0,138,16,18,5,0,1,16,99,46,0, 
5,1,1,4,3,0,7,0,40,3,11,7,0,0,3,12,10,0, 
5,1,0,5,0,0,0,0,19,1,10,0,0,0,1,7,3,0, 
128,1,122,6,465,0,11,0,240,31,18,3,4,7,27,72,66,0, 
0,2,0,0,0,0,1,2,4,1,19,0,0,1,1,1,1,0, 
1,2,0,1,21,0,8,6,345,7,35,8,6,0,1,32,51,0, 
6,1,4,2,21,0,18,0,44,7,18,4,0,1,7,20,13,1, 
16,2,13,3,231,3,16,0,182,22,41,0,0,0,20,57,60,0, 
23,1,14,9,66,0,6,0,182,12,9,6,4,0,8,120,37,0, 
5,1,2,3,1,0,2,0,13,2,9,2,0,0,2,5,3,0, 
2,2,0,2,1,0,2,0,6,2,15,1,0,0,2,5,2,0, 
4,1,2,3,10,0,2,0,20,5,9,2,0,0,4,11,6,0, 
8,1,0,8,1,0,1,0,40,2,9,0,1,0,1,26,9,0, 
2,1,2,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0, 
65,3,57,8,36,2,2,0,61,9,37,1,1,1,8,30,18,0, 
4,2,1,3,28,0,8,0,86,8,24,0,0,0,7,34,16,0, 
6,1,5,1,45,0,9,0,54,10,9,1,0,8,7,24,13,0, 
4,1,2,2,1,0,6,0,76,2,9,0,0,6,2,8,15,1, 
8,4,0,8,3,0,0,13,39,3,51,0,0,0,2,33,10,0, 
3,3,0,3,1,0,1,1,14,2,16,1,0,0,2,10,4,0, 
8,3,1,7,78,2,9,0,107,13,17,4,3,0,6,44,33,0, 
6,1,2,4,1,0,0,0,44,2,9,0,0,0,2,18,10,0, 
3,3,1,2,10,3,6,1,55,5,16,6,0,0,3,15,13,1, 
2,4,0,2,1,0,0,2,7,2,44,0,0,0,2,4,2,0, 
9,2,5,4,105,4,3,1,73,15,30,3,0,0,9,64,24,0, 
1,2,0,1,0,6,0,0,3,1,11,0,0,0,1,2,1,0, 
74,1,69,5,153,7,2,0,64,18,9,0,0,1,17,35,18,1, 
4,1,1,3,1,0,0,0,34,2,10,0,0,0,2,15,5,0, 
11,1,2,9,3,0,1,0,56,3,10,1,0,0,2,25,10,0, 
14,2,1,13,3,0,6,0,130,3,11,2,0,4,2,35,18,3, 
4,3,1,3,1,0,1,1,19,2,16,0,0,1,2,6,4,0, 
3,4,1,2,3,0,0,15,9,3,80,0,0,0,1,6,4,0, 
