 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , 
16,1,11,5,15,0,0,0,42,6,9,0,1,0,5,18,8,0, 
7,1,2,5,36,0,11,0,60,9,0,6,0,0,8,29,14,0, 
6,2,6,0,6,0,3,0,13,4,19,3,0,0,3,5,4,0, 
2,2,1,1,6,0,0,0,12,4,22,0,0,0,1,6,3,0, 
1,4,1,0,6,0,2,8,12,4,47,0,0,0,2,4,5,0, 
4,3,0,4,91,0,7,0,78,14,52,7,0,0,14,33,33,0, 
2,1,1,1,105,0,7,0,57,15,9,7,0,0,15,17,21,0, 
4,2,2,3,1,0,1,0,16,2,2,1,0,0,2,8,3,0, 
10,1,0,10,3,0,3,0,95,3,0,3,1,0,2,56,20,0, 
3,1,3,0,3,0,3,0,10,3,18,3,0,0,3,3,3,0, 
7,1,5,2,120,0,8,0,53,16,24,8,0,0,16,19,16,0, 
5,1,0,5,153,0,3,0,211,18,9,3,3,0,15,90,57,0, 
3,1,2,1,28,0,0,0,56,8,9,0,0,0,8,23,15,0, 
1,2,0,1,1,0,0,0,6,2,11,0,0,0,2,5,2,0, 
2,1,1,1,15,0,1,0,40,6,9,1,0,0,6,15,8,0, 
7,2,1,6,1,0,0,1,26,2,11,0,0,0,2,17,6,0, 
4,1,1,3,21,0,1,0,38,7,0,1,1,0,6,32,10,0, 
8,1,2,6,6,0,4,0,81,4,0,3,0,0,4,16,8,0, 
7,2,1,6,6,5,1,8,50,4,25,1,0,0,3,23,14,0, 
5,3,4,1,0,0,0,0,3,1,26,0,0,0,1,2,1,0, 
1,1,1,0,1,1,0,0,2,2,10,0,0,0,2,2,1,0, 
13,2,1,12,120,0,2,1,214,16,23,1,4,0,11,91,53,0, 
20,1,6,14,28,0,8,0,115,8,9,7,4,0,4,64,30,0, 
11,1,6,5,28,0,0,0,57,8,9,0,0,0,8,23,15,0, 
11,1,3,9,91,0,6,0,83,14,9,6,0,0,14,59,18,0, 
8,2,0,8,6,0,1,1,84,4,19,1,1,0,2,53,16,0, 
2,1,1,1,10,0,3,0,19,5,0,2,0,0,5,8,6,0, 
1,2,1,0,1,0,1,0,6,2,54,1,0,0,2,2,2,0, 
4,4,3,1,15,0,1,2,23,6,170,1,0,0,6,8,7,0, 
1,1,1,0,105,0,6,0,122,15,9,6,10,0,5,45,23,0, 
6,2,1,5,15,4,3,0,91,6,14,3,3,0,2,36,16,1, 
2,1,0,2,0,0,0,0,48,1,9,0,0,0,1,12,5,0, 
4,1,0,4,1,0,3,0,14,2,0,0,0,0,1,9,2,0, 
0,1,0,0,0,0,3,0,3,1,0,1,0,2,1,2,1,0, 
2,1,0,2,1,0,0,0,36,2,0,0,0,0,2,10,5,0, 
12,2,1,11,15,0,5,0,115,6,6,5,0,0,6,40,30,0, 
12,2,1,11,21,0,6,0,109,7,3,6,2,0,5,52,16,0, 
1,1,0,1,1,0,1,0,9,2,18,1,0,0,2,3,4,0, 
3,1,1,2,0,0,0,0,6,1,0,0,0,0,1,8,1,0, 
2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0, 
29,1,9,22,105,0,2,0,146,15,13,2,2,0,13,84,28,1, 
11,1,1,10,136,0,5,0,483,17,0,5,14,0,3,98,32,0, 
8,1,1,7,28,0,6,0,89,8,9,6,2,0,6,34,13,0, 
2,2,0,2,3,0,0,0,12,3,12,0,0,0,2,7,2,0, 
0,1,0,0,0,0,22,0,3,1,0,1,0,21,1,2,1,0, 
9,2,0,9,21,0,1,0,69,7,14,1,1,0,6,46,9,0, 
7,1,0,7,15,0,83,0,373,6,51,83,1,0,5,185,139,1, 
