CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
0,1,165,1,15,1,3,15,1,7,0,6,1,15,125,1,15,15,20,0,0,1,0,3,15,15,20,21,0,5.95,19,20,1,19,0,15,1,100,0,1,0,0,0,0,0,1,0.866667,0,1,1,1,6,0.333333,0,2,2,2,4,6,0.987879,0.5,0,1,2,1,0
0,2,341,1,0,1,3,59,1,3,0,0,1,59,124,1,59,59,64,0,0,1,59,45,59,59,64,149,42,0.83,68,106,1,63,0,59,1,96,1,0,0,2,22,4.423729,0,2,1.542373,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,2,32,1,0,1,0,2,1,2,0,0,1,2,21,1,2,2,4,1,0,1,1,1,2,2,4,7,1,3,5,5,1,3,0,2,1,0,1,0,0,1,1,0.5,0,1,1,1,1,1,1,7,1.4,0,0,0,0,0,0,1,0,0,1,0,0,0
7,18,382,13,0,1,3,42,4,22,2,0,4,12,23,3,12,42,93,1,4,13,4,192,42,14,96,285,128,0.08,77,224,13,171,4,10,4,87,1,0,9,2,9,3.5,2,17,7.333333,1,400,35.583333,1,4,1.875,0,0,0,0,0,0,1,0,0,1,0,0,0
0,5,70,2,0,1,0,6,1,7,0,0,1,5,26,1,5,6,11,2,0,2,3,16,6,5,11,31,12,0.84,13,23,2,16,1,5,1,0,2,0,0,1,3,2,1,5,2.8,2,2,1.2,1,4,0.875,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,41,1,0,1,0,2,1,4,0,1,1,2,26,1,2,2,5,1,0,1,1,2,2,2,5,10,2,2.6,5,7,1,4,0,2,1,0,2,0,0,1,3,2,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,35,1,0,1,0,2,1,3,0,0,1,2,20,1,2,2,5,1,0,1,1,2,2,2,5,10,2,2,5,7,1,4,0,2,1,0,2,0,0,1,2,2,2,4,3,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,11,193,14,0,1,2,41,3,12,0,0,3,12,26,1,12,40,25,3,1,14,8,101,40,15,27,140,90,0.19,29,117,14,78,0,12,3,80,1,6,2,1,9,4.666667,1,7,3.583333,0,14,3.333333,1,4,1.214286,0,0,0,0,0,0,1,0,0,1,0,0,0
0,12,198,13,0,1,0,29,3,14,0,0,3,9,48,1,9,28,34,1,3,13,8,81,28,12,36,117,61,0.41,36,97,13,69,2,9,3,59,2,0,0,1,5,2.555556,0,15,4.888889,0,24,4.555556,1,4,1.545455,0,0,0,0,0,0,1,0,0,1,0,0,0
0,13,106,13,0,1,0,16,4,16,0,1,4,4,30,1,4,16,12,1,1,13,3,43,16,4,13,60,38,0.5,17,51,13,34,2,4,4,50,2,0,0,1,5,2.25,0,12,4.5,0,13,4,1,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,38,1,0,1,0,2,1,4,0,1,1,2,23,1,2,2,5,1,0,1,1,2,2,2,5,10,2,2.3,5,7,1,4,0,2,1,0,2,0,0,1,2,2,2,4,3,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,31,79,4,0,1,0,4,4,46,1,3,4,1,23,1,1,4,17,0,0,4,1,26,4,1,20,38,20,0.61,18,40,4,35,12,0,4,0,1,0,5,1,1,1,1,10,10,10,8,8,8,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0,33,107,5,0,1,0,5,5,42,1,4,5,1,46,1,1,5,16,0,0,5,1,26,5,1,16,42,18,1.1,19,34,5,28,5,0,5,0,1,0,3,1,4,4,4,8,8,8,9,9,9,1,1,1,0,0,0,0,0,0.943925,0,0,1,0,2,0
0,4,84,1,0,1,0,3,1,4,1,0,1,3,41,2,3,3,18,1,2,1,2,12,3,3,18,28,4,1.46,15,22,1,18,0,2,1,75,3,0,3,2,3,1.333333,0,5,3,2,1,1,1,2,0.285714,0,0,0,0,0,0,0.738095,0,0,2,0,0,0
0,5,105,4,0,1,1,13,2,6,0,1,2,8,29,1,8,12,24,0,2,5,8,28,12,8,16,61,17,0.48,15,33,4,20,0,8,2,75,2,0,0,1,7,2.5,0,9,2.25,1,6,1.75,1,2,0.7,0,1,1,1,6,6,0.943396,1,0,2,1,0,0
10,8,260,4,0,1,5,38,2,11,3,3,2,15,90,1,15,33,66,0,0,6,5,81,33,20,71,142,45,0.63,37,116,4,88,0,12,3,93,1,0,15,2,5,3.266667,0,11,5.133333,1,5,2.266667,1,2,1.222222,0,6,6,1,277,17,1,1,0,1,1,0,0
