CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
6,21,487,12,0,1,2,69,4,27,0,4,4,15,106,4,15,61,110,4,8,13,5,215,61,22,90,349,144,0.3,40,234,12,171,1,15,5,100,3,0,14,2,15,6.533333,0,31,9.4,1,126,16.733333,1,6,1.619048,0,2,2,1,34,522,1,1,0,1,1,0,1
0,8,118,6,0,1,0,15,2,10,0,1,2,7,33,1,7,15,27,0,2,6,7,42,15,7,24,75,29,0.44,10,53,6,38,0,7,2,50,2,0,2,1,6,2.857143,1,9,3.428571,1,6,2.285714,1,3,1.222222,0,1,1,1,0,118,1,1,0,1,1,0,0
2,12,412,10,0,1,2,46,2,16,2,3,2,18,95,4,18,44,132,6,11,10,10,143,44,20,95,280,92,0.34,38,187,10,138,0,16,3,83,3,0,12,2,14,5.222222,0,25,5.833333,1,36,4.222222,1,3,1.086957,0,3,3,1,45,458,1,1,0,1,1,0,0
9,18,737,21,3,2,8,122,4,20,0,2,4,28,98,4,28,110,171,5,23,26,11,381,110,50,142,588,256,0.17,64,398,21,286,0,28,4,90,2,1,15,2,25,6.714286,0,32,7.321429,1,3050,127,1,4,1.333333,0,5,5,2,38,766,0.9729,0.8,0,1,2,2,0
0,4,84,2,2,1,0,6,1,5,0,1,1,5,37,1,5,6,20,0,3,2,3,10,6,5,16,37,8,1,10,24,2,17,0,5,1,60,2,0,6,1,5,2,0,4,1.4,0,2,1.2,1,6,1.125,0,1,1,1,0,84,1,1,0,1,1,0,0
10,8,1052,15,3,1,3,172,2,10,3,1,2,76,164,2,76,161,341,0,11,19,63,373,161,97,205,778,210,0.21,113,415,15,249,0,73,2,92,2,0,42,3,21,3.434211,0,20,4.105263,0,22,2.236842,1,6,0.835443,0,7,7,3,164,1151,0.923954,0.714286,0,2,3,1,3
0,1,85,1,0,1,1,4,1,11,0,10,1,4,60,1,4,4,14,0,0,1,4,1,4,4,10,15,0,4,10,10,1,9,0,4,1,100,2,1,2,1,6,3.25,1,1,0.25,0,1,1,1,0,0,0,3,3,2,21,89,0.776471,0.666667,0,2,2,0,0
2,18,514,9,8,1,9,63,3,26,15,6,3,15,140,1,15,52,133,0,0,10,5,198,52,17,113,325,113,0.43,50,226,9,163,1,0,4,81,3,0,27,1,12,6.066667,3,16,8.533333,2,84,10.733333,1,4,1.722222,0,1,1,1,0,514,1,1,0,1,1,0,0
0,7,199,8,1,2,3,43,3,8,0,0,3,13,26,2,15,40,50,0,7,10,14,80,40,28,52,149,63,0.17,24,115,8,70,0,15,3,91,2,2,2,1,7,3.133333,0,6,2.2,1,8,2.533333,0,4,1.555556,0,1,1,1,0,199,1,1,0,1,1,0,0
9,11,482,9,0,2,4,88,3,14,1,2,3,27,97,1,27,87,105,0,6,9,18,176,87,65,94,331,130,0.29,54,224,9,121,0,26,3,89,1,0,9,1,8,5.555556,3,9,4.333333,1,19,4.148148,1,5,1.896552,0,1,1,1,0,482,1,1,0,1,1,0,0
0,9,295,5,0,2,1,55,2,14,0,4,2,16,89,1,16,39,42,0,3,9,16,100,39,28,34,174,73,0.51,32,107,5,67,0,16,3,48,3,1,3,1,16,6.875,1,9,3.6875,1,8,2.875,1,3,1,0,1,1,1,0,295,1,1,0,1,1,0,0
0,5,138,3,0,1,1,14,1,8,0,3,1,10,52,1,10,13,32,0,1,4,10,30,13,12,24,70,21,0.74,16,45,3,31,0,10,1,55,4,0,2,1,6,2.5,0,5,2.9,1,3,1.3,1,1,0.333333,0,1,1,1,0,138,1,1,0,1,1,0,0
1,11,164,5,0,1,2,23,3,13,0,1,3,8,36,1,8,23,45,0,2,5,7,62,23,10,36,116,38,0.31,12,74,5,50,0,8,3,46,2,0,5,1,10,5.75,3,10,6,4,7,3.125,1,3,1.9,0,1,1,1,0,164,1,1,0,1,1,0,0
0,3,39,1,0,1,1,3,1,3,0,0,1,3,20,1,3,3,7,0,0,1,3,4,3,3,7,14,3,1.43,5,10,1,6,0,3,1,100,3,0,0,1,7,3,0,3,2.333333,2,1,1,1,4,0.666667,0,1,1,1,0,39,1,1,0,1,1,0,0
0,5,53,2,0,1,1,3,2,6,1,0,2,2,22,1,2,3,17,0,0,2,2,8,3,2,12,27,4,0.81,4,16,2,12,0,1,2,50,2,0,3,1,4,2.5,1,3,2,1,2,1.5,1,1,0.75,0,3,3,1,6,59,1,1,0,1,1,0,0
