CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
1,9,234,6,0,1,0,26,2,11,0,0,2,13,34,2,13,22,59,5,7,6,7,94,26,13,62,159,70,0.21,41,132,5,109,1,13,2,80,2,3,1,2,13,3.461538,1,21,4.384615,1,16,2.846154,1,3,0.941176,0,1,1,1,2,3,1,1,0,1,1,0,0
0,7,16,2,0,1,0,2,2,7,0,0,2,1,3,1,1,2,5,0,0,2,1,4,2,1,5,11,3,0.27,2,8,2,5,0,1,2,0,4,0,0,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0,3,18,1,0,1,0,1,1,3,0,0,1,1,6,1,1,1,5,0,1,1,1,2,1,1,5,8,1,0.75,4,6,1,4,0,1,1,0,3,0,0,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,5,20,2,0,1,0,3,2,5,0,0,2,2,3,1,2,3,6,0,0,2,2,5,3,2,6,14,4,0.21,3,10,2,6,0,2,2,0,4,0,0,1,1,0.5,0,2,1.5,1,2,1.5,1,1,0.75,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,23,1,0,1,0,2,1,3,0,0,1,2,6,1,2,2,8,1,1,1,1,4,2,2,8,12,2,0.5,5,10,1,7,0,2,1,50,3,2,0,1,4,2.5,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,27,63,5,0,1,0,5,5,27,0,0,5,1,16,1,1,5,19,0,4,5,1,25,5,1,19,41,17,0.39,6,36,5,30,0,1,5,0,3,0,0,1,4,4,4,13,13,13,8,8,8,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0
0,43,86,13,0,1,0,15,13,56,0,5,13,1,13,1,1,13,21,0,11,15,1,36,13,1,21,61,35,0.21,12,56,13,43,8,1,15,0,1,0,3,1,14,14,14,20,20,20,54,54,54,3,3,3,2,2,1,95,3,1,1,0,1,1,0,0
0,1,74,1,12,1,0,12,1,4,0,3,1,12,48,1,12,12,22,0,0,1,0,0,12,12,20,23,0,2.09,3,20,1,19,0,12,1,0,0,0,2,0,5,2.583333,1,1,1,1,1,1,1,0,0,0,7,7,2,44,9,1,0.857143,0,1,2,0,0
0,1,19,1,3,1,0,3,1,1,0,0,1,3,5,1,3,3,11,0,0,1,0,0,3,3,9,12,0,0.42,2,9,1,8,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,6,1,26,26,1,1,0,1,1,0,0
0,3,79,1,0,1,0,5,1,5,0,2,1,5,45,1,5,5,13,0,2,1,5,7,5,5,13,26,7,1.73,8,20,1,14,0,5,1,60,2,0,4,1,5,3.6,1,4,1.8,1,1,1,1,2,0.25,0,1,1,1,2,2,0.481013,1,0,4,1,1,0
