CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
0,10,212,8,0,1,0,18,2,18,0,7,2,8,91,1,8,18,35,3,1,8,5,40,18,11,35,106,27,0.86,15,62,8,45,0,8,2,50,1,2,6,2,4,2.125,1,11,3.875,1,17,3.375,1,3,1.363636,0,6,6,3,396,5,0.966981,0.666667,0,1,3,1,0
0,4,273,3,0,1,1,18,1,12,8,7,1,15,157,1,15,18,34,1,3,3,14,24,18,15,34,94,22,1.67,22,56,3,37,0,7,1,86,4,0,7,1,7,2.533333,1,3,1.933333,1,4,1.266667,1,1,0.277778,0,2,2,2,546,0,0.937729,0.5,0,2,2,0,0
0,4,231,2,0,1,1,12,1,14,8,9,1,11,147,1,11,12,27,0,1,2,11,15,12,11,27,67,14,2.19,17,41,2,28,0,3,1,86,8,0,5,2,8,3.090909,1,3,2.272727,1,2,1.090909,1,1,0.285714,0,3,3,3,463,1,0.917749,0.333333,0,2,3,1,0
0,6,104,2,0,1,1,4,1,16,0,9,1,3,64,1,3,4,14,1,1,2,2,8,4,3,14,30,6,2.13,10,20,2,15,0,3,1,50,2,0,1,1,4,2,1,6,3.333333,1,2,1.333333,1,1,0.6,0,2,2,2,210,0,0.971429,0.5,0,1,2,1,0
0,5,128,2,0,1,1,5,1,18,0,12,1,4,86,1,4,5,15,1,1,2,3,9,5,4,15,33,7,2.61,9,22,2,16,0,4,1,75,2,0,1,1,5,2.5,0,4,3.25,2,2,1.25,1,1,0.5,0,2,2,2,258,0,0.968992,0.5,0,1,2,1,0
1,22,276,7,0,1,4,15,2,35,0,11,2,8,125,2,8,15,34,3,0,7,4,71,15,8,37,128,56,0.98,23,93,7,78,2,8,2,100,3,0,3,2,3,1.75,1,13,3.5,0,11,2.375,1,4,1.333333,0,5,5,4,556,4,0.92029,0.4,0,1,4,4,0
1,6,135,2,0,1,1,10,1,12,0,6,1,7,67,1,7,10,19,1,2,2,5,18,10,7,19,55,15,1.22,13,34,2,25,0,7,1,76,7,0,4,1,4,1.428571,0,7,3.142857,2,2,1.142857,1,1,0.333333,0,9,9,3,323,66,0.940741,0.666667,0,2,3,0,2
1,11,360,7,0,1,2,26,2,19,0,7,2,14,133,2,14,26,62,8,1,7,5,98,26,14,63,200,69,0.67,27,132,7,106,0,14,2,100,3,0,17,2,5,2,0,22,4.285714,0,11,2.214286,1,4,0.941176,0,16,16,6,1032,217,0.905556,0.6875,0,2,6,2,2
3,8,332,7,0,1,4,30,2,14,1,5,2,16,116,2,16,30,59,1,8,7,12,72,30,18,59,176,52,0.66,40,111,7,84,0,15,2,84,7,0,13,1,6,2.0625,1,17,4.25,1,10,1.9375,1,3,0.631579,0,10,10,3,820,192,0.954819,0.7,0,1,3,1,2
1,3,37,1,0,1,1,1,1,6,0,3,1,1,24,1,1,1,5,0,0,1,0,1,1,1,5,9,0,2.67,4,5,1,3,0,1,1,100,1,0,0,2,0,0,0,1,1,1,1,1,1,0,0,0,3,3,3,74,2,0.945946,0.333333,0,2,3,0,0
0,10,52,1,0,1,0,1,1,19,0,7,1,1,33,1,1,1,3,0,0,1,1,7,1,1,3,14,2,2.36,5,5,1,3,2,1,1,0,3,0,0,1,0,0,0,3,3,3,1,1,1,4,1,0,5,5,3,125,18,0.846154,0.6,0,2,3,1,0
0,6,193,1,0,1,2,10,1,14,0,7,1,10,98,2,10,10,32,3,2,1,7,29,10,10,32,77,19,1.27,18,51,1,40,0,10,1,100,7,0,7,2,5,3,1,5,3.2,2,1,1,1,2,0.142857,0,2,2,2,386,0,0.849741,0.5,0,3,2,0,0
2,8,466,3,0,1,4,34,1,14,0,5,1,25,190,4,25,34,67,14,2,3,9,105,34,25,63,233,73,0.82,43,136,3,99,0,25,1,100,6,2,10,2,6,2.56,1,10,3.48,1,3,1.36,1,2,0.533333,0,8,8,4,933,18,0.809013,0.375,0,2,4,3,0
0,9,201,2,0,1,5,14,1,14,0,4,1,13,76,5,13,14,33,5,2,2,8,47,14,13,37,105,24,0.72,20,61,2,46,0,13,1,100,7,0,6,2,2,1.384615,1,6,2.153846,1,2,1.076923,1,1,0.157895,0,2,2,2,402,0,0.855721,0.5,0,3,2,0,0
